Label,Ticker,Headline
0,MMM,Experian fined $3M over 'inaccurate' credit scores
1,MMM,Amazon paid £3m tax on £4bn UK sales
0,MMM,Dark marketplace closes after theft of £3m in bitcoins
1,MMM,$3M cut to Holocaust museum meets backlash
0,MMM,Poison-like Pesticide (Endosulfan) banned in most countries is still being used in India and leave some young disturbingly deformed. [Video 3m:07s]
0,MMM,Pope draws 3M in Rio one of largest papal Masses
0,MMM,Philando Castile's family reaches $3M US settlement in shooting by police
0,MMM,Chinese government foot the £3m bill for the marriage of the country's most famous television presenter
0,MMM,3M+ 'Remain' Petition Uses 'Script' To 'Fake' Signatures: 25000 From North Korea 2800 From Uninhabitable Antarctic
0,MMM,Chairman of Japan nuclear operator resigns over $3m gift scandal
0,MMM,Number of displaced people around world reached record high of 68.5 million last year UN revealed in new report that also shows dramatic drop in willingness of wealthy nations to welcome refugees. 100000 refugees resettled by international community in 2017 while 3m new refugees created.
1,MMM,Industry Cites 3M experiment that exposed cancer patients to PFAS to claim the chemicals aren't so bad
0,MMM,UN report says 100000 refugees were resettled by international community in 2017 while 3m new refugees were created
1,MMM,Vladimir Putin's Annual Call-In Show: Russians Submit 3M Questions
0,MMM,Hacker holds UAE bank to ransom demands $3m
0,MMM,3M says White House asked it stop exporting U.S.-made respirators to Canada
1,MMM,French workers burned tires held a manager of 3M hostage as anger mounted over job cuts and executive bonuses
1,MMM,Phishers trick Mattel into transferring $3M to a Chinese bank [Holiday weekend saves Mattel]
1,MMM,Petition to revoke article 50 hits 3m signatures | Politics
1,MMM,3M suspends operations in Venezuela citing unrest
0,MMM,Swimmer survives 3m croc attack days after man bitten on head in Cairns
1,MMM,A Patriot missile - usually priced at about $3m (£2.5m) - was used to shoot down a small quadcopter drone according to a US general.
0,MMM,Australian firm Meriton fined $3M for misleading consumers on TripAdvisor
0,MMM,Canadian company the only manufacture of material for 3M face masks
0,MMM,"Roman noses sniff out huge marijuana factory hidden in Mussolini-era tunnel:
Italian police discover €3m plantation behind fake breeze blocks in disused railway tunnel after following strong smell"
0,MMM,A senior Islamist leader who had a $3m US government bounty on his head has been killed in a French missile strike in the north-east of Mali
0,MMM,Trump wants 3M to stop supplying Canada with N95 respirators
0,MMM,Mercedes recalls 3m diesel cars over emissions concerns | World news | The Guardian
1,MMM,Ecuador to auction more than 3m ha of pristine Amazon rainforest to Chinese oil companies
0,MMM,NZ lawyers spent 29334 hours and $3M-plus trying to prosecute Kim Dotcom.
0,MMM,Trump asks medical supply firm 3M to stop selling N95 respirators to Canada - National
0,MMM,The Pentagon says a Russian fighter plane flew within about 10ft (3m) of one of its reconnaissance aircraft operating over the Black Sea.
1,MMM,3M is not aware of any US seizure of masks from Singapore.
0,MMM,Wuhan lab was performing coronavirus experiments on bats from the caves where the disease is believed to have originated - with a £3m grant from the US
0,MMM,3M Blasts Back At Trump: Company Says Not Selling Masks To Canada Could Spark Retaliation
0,MMM,3M says Trump officials have told it to stop sending face masks to Canada
1,MMM,France’s 3m jobless concerns.   French President François Hollande’s popularity rating has sunk to 55% in recent weeks with worries about the economy and jobs.
1,MMM,British Museum to train Iraqi curators in heritage protection | In the future the project for which the museum has won a £3m government grant may be able to help tackle disasters such as the recent destruction of ancient monuments in Palmyra Syria.
0,MMM,Canadian PM Justin Trudeau has said he will not retaliate for U.S. President Donald Trump blocking 3M Co’s (MMM.N) exports of N95 respirator masks that protect doctors and nurses from the spread of coronavirus.
0,MMM,'You see who your friends are': Doug Ford responds to Donald Trump's attempt to prevent 3M from selling masks to Canada
0,MMM,3M faces pressure from Trump order to stop exporting N95 masks to Canada
0,MMM,US reaches 3m confirmed Covid-19 cases as Pence pushes for schools to reopen – as it happened | US news
0,MMM,Somalia has pardoned three Britons convicted for bringing more than $3m (£2m) in cash illegally into the country.
0,MMM,Trump Shocked to Learn 3M Selling Masks Overseas After He Failed to Invoke Defense Production Act
1,MMM,The British government has released the details of the BNO visa that will allow 3m HKers to move to the UK
0,MMM,Tories block £3m European Union fund to feed the hungry and poor - Britain is the only European government to oppose 'European Aid to the Most Deprived'
0,MMM,3M Says Trump Halting Mask Exports to Canada has Significant Humanitarian Implications.
0,MMM,3M response to Defense Production Act order
0,MMM,Canada to receive 'millions' of masks won’t retaliate for U.S. ban on 3M exports: PM
0,MMM,3M faces pressure from Trump order to stop exporting N95 masks to Canada | CBC News
0,MMM,H&amp;M C&amp;A 3M investigate China prison labor report
0,MMM,Teenage cancer fundraiser Stephen Sutton who raised more than £3m via social media has died aged 19
1,MMM,BBC News - US offers $3m reward for arrest of Russian hacker Evgeniy Bogachev
0,MMM,3M says Trump halting mask exports to Canada has 'significant humanitarian implications'
1,MMM,Syria conflict: UN says more than 3m have fled war
0,MMM,Israeli Nano Satellite Startup SkyFi Raises $3M To Deliver Universal Internet Access
0,MMM,US teenager wins $3m as Fortnite world champion.
0,MMM,3M to cut 2000 jobs globally lowers 2019 profit outlook
1,MMM,Schoolgirl sells life story for $3M
1,MMM,Greek MP alleges 3m euro vote bribe
0,MMM,US to pay $3m for killing Italian aid worker in CIA drone strike
1,MMM,3M H&amp;M and C&amp;A probe claim Chinese prisoners made packaging
1,MMM,New funding for councils to tackle air pollution ‘won’t touch the sides’ UK green groups say - ‘Throwing as little as £3m at the problem is about as effective as chucking your small change into a wishing well in the hope a solution will appear’
0,AXP,Chinese billionaire buys $170 million Modigliani painting with American Express card for lifetime of frequent flyer miles
0,AXP,American Express gets $3.39 Billion Capital One gets $3.6 Billion DIscover gets $1.2 Billion...Lets have the intrest rate for this money at 22.99% compounded monthly and with a $3 million late fee.
1,AXP,American Express bootlicks Beijing with 'Taiwan China' page
1,AXP,American Express pays no tax on Australian billions
1,AXP,A Mexican police commander investigating the disappearance of an American tourist on a border lake plagued by pirates was killed U.S. and Mexican officials said Tuesday. The San Antonio Express-News is reporting that Rolando Flores' head was delivered to the Mexican military in a suitcase.
0,AXP,Wikileaks lost more than $50 million of potential donations after Visa Europe MasterCard and American Express stopped payments
1,AXP,First LGBTI job fair held in India after gay ban lifted; Goldman Sachs PayPal Lowe’s JP Morgan Deutsche Bank Accenture and American Express took part in the event with more than 250 jobs on offer
0,AXP,FU American Express: AMEX Demands Money From Innocent Danish Cycling Crash Victim
0,AXP,Justice Department Sues Credit Card Giant American Express
1,AXP,40 American and Chinese tourists kidnapped. 2 dead. No news about this on any mainstream media except Express and Chinese media.
0,AXP,US Supreme Court rules in favor of companies in Ohio v. American Express antitrust case
0,AXP,Calling all American Express Card Holders!
1,AXP,Foreign payment firms could keep copies of customer data in India the government said as a way to resolve a row with MasterCard Visa and American Express over the localisation of such information.
1,AXP,American Express to cut more than 4000 jobs
0,AXP,Ferguson police charge African American man for shooting officers - The Indian Express
1,AXP,Haagen Dasz Ford American Express Pull Out of Philippines due to Clueless President Pnoy Aquino
1,AXP,A Chinese collector who bought an ancient Chinese ceramic cup for a record HK$281 million (US$36 million) at auction in April got an unexpected bonus when he paid for it today: almost 422 million American Express points.
0,AXP,Chinese billionaire earns free first-class travel for life by paying for $170 million Modigliani painting with his American Express card.
1,AXP,Supreme Court sides with American Express in antitrust case
1,AXP,American Express: Realise The Potential LONDON
0,AXP,American Express Outsources Prepaid Card Portfolio Management Services To eFunds
0,AXP,Major Goof-up: American Express promotes trip on ill-fated Costa Concordia for $749
0,AXP,American Express to refund $85 million to customers
1,AXP,American Express Black Card - The Legend
1,AXP,The Legend of the American Express Black Card
1,AXP,American Express Launches Payment SDKs
1,AXP,American Express Cards
1,AXP,"Leading Airlines(Air Canada American Airlines Atlas Air Delta Air Lines FedEx Express etc.) are opting for a ""green"" aviation fuel "
0,AXP,American Express Rewards Catalog | About American Express | American Apply Card Credit Express Online
0,AXP,"American Express Gift Cards  Store Coupons | FREE American Express Gift Cards  Discount Coupons Codes |Online Rebates Cash Back Promo Deals
"
1,AXP,Funding Online Business with American Express OnePoint Syste
1,AXP,American Express OPEN Business Apps Discount Coupons
0,AXP,Enjoy 20% discount at the Rib Room Bar &amp; Restaurant: American Express: Realise the potential LONDON
1,AXP,FAIL: American Express marketing gimmick totally backfires on Israeli Facebook
0,AXP,Will Internet Cafes Soon Be Illegal? - OPEN Forum :: American Express OPEN Forum
0,AXP,Forgotten fact 9/11 2001 Iranians held a candle light vigil to express sympathy/support for the American people.
1,AXP,Looking For Best Expedites To American Passport Express
1,AXP,"American Express to cut 5400 jobs
"
0,AXP,Toronto the first North American city to offer express delivery on sex toys.
0,AXP,American Express Prepaid Card
0,AXP,Getting Visa with American Passport Express
1,AXP,American Express
0,AXP,American Express Kredittkort: Vanligvis er De vil befitting Anyone?
0,AXP,American Express kredittkort - Hvordan kan du forst&amp;#65533; n&amp;#65533;r du kan kj&amp;#65533;per American Express kredittkort
1,AXP,Q/A with Ken Chenault of American Express and Jack Ma of Alibaba Group
1,AXP,﻿American Express Gift Memory card Advertising Code July 2016.
0,AXP,Tori Spelling Slapped With Another American Express Lawsuit for Over $87000 of Credit Card Debt
0,AXP,American Express Profit Falls 8.2% as Expenses Top Estimates
1,AXP,American Express Announces Exclusive Aspen Opportunity for Cardholders
1,AXP,US intelligence officials express concern about efforts by Russia China Iran to influence American voters policy
1,AXP,Supreme Court Rules for American Express in Swipe-Fee Antitrust Case
1,AXP,Stocks making the biggest moves after hours: Netflix American Express Atlassian and more
1,AXP,American Express Co has suspended a director in its foreign-exchange department as part of an ongoing investigation into pricing practices in the division | The credit card issuer received subpoenas from the U.S. DoJ late October and is also being investigated for pricing practices
1,AXP,China central bank bank approves American Express for bank card clearance business
0,AXP,American Express increases 0.7 percent
0,AXP,Stocks making the biggest moves midday: Roku Peloton DraftKings American Express and more
1,AXP,Maria Sharapova became the face of American Express Company
0,AXP,How to make American express credit card payment online in the World
1,AXP,American Express issued a notice of data breach
1,AXP,American Muslims express shock fear over Trump’s victory
1,AXP,American Express Releases New American Express Gold Card
0,AXP,Hedge-fund billionaire Dan Loeb reportedly discloses a stake in American Express (AXP)
1,AXP,GOOgul #American Express launches new Score Goals tool to help users improve their #Credit score for free sns auto advertising
0,AXP,Visa Inc said Chief Executive Charles Scharf who orchestrated the company's reunion with its European affiliate is stepping down and will be succeeded by former American Express Co President Alfred Kelly.
0,AXP,US Supreme Court rules in favor of companies in *Ohio v. American Express* antitrust case
0,AXP,American Express beats Q3 expectations on record revenue
0,AXP,American execs in China privately express fears of retaliation for Huawei arrest
1,AXP,American Express Appoints Kabir Julka as Chief Human Resources Officer in India
0,AXP,Across 32 countries surveyed by Pew a median of 64% say they do not have confidence in Trump to do the right thing in world affairs while just 29% express confidence in the American leader
0,AXP,GOOgul #American Express Reports $1.6 Billion in Provisions for #Credit Losses sns auto advertising
1,AXP,American Express wins 1.1 percent
0,AXP,Uber American Express team up to offer free Eats Pass membership - CNET
0,AXP,China gives American Express first shot at its huge payments market
0,AXP,American Express Announces Two New Centurion Lounges
1,AXP,Trudeau EU leaders express faith in American people and call for return to multilateralism
0,AXP,Homa Finau Kim Share 3rd-Round Lead at American Express https://ift.tt/eA8V8J
0,AXP,American Express Credit Card In Dubai
0,AXP,American Express: Retailers optimistic so far
1,AXP,Anybody else grateful to Russia for standing up to the retards in Washington for all of this time?  How should we express our gratitude for their reason and compassion in the face of continuing American belligerence?
0,AXP,Pass From American Express
0,AMGN,Amgen releases positive data for chronic-migraine prevention drug
1,AMGN,Amgen exits neuroscience R&amp;D as pharma pulls back from field
1,AMGN,Amgen Tour of California Press Conference and I get to talk to Jens Voigt!
0,AMGN,Drug Company Amgen Launches Online Journal For Studies That Attempt To Replicate Experimental Results
0,AMGN,Amgen lowers cholesterol drug Repatha cost 60% amid political talk of high drug prices
0,AMGN,COVID R&amp;D Alliance launches trial of Amgen UCB Takeda drugs
1,AMGN,Tonsil Cancer Market Projected to Reach 3396.3 Million at 4.6% CAGR Till 2023 | Major Leading Players F. Hoffmann-La Roche Ltd  Amgen Inc.  Novartis AG Abbott | MarketResearchFuture.com
1,AMGN,From Amgen to Gilead drugmakers are sitting on billions of cash — and top pharma executives are hinting about big M&amp;A to come in 2019
0,AMGN,Stocks making the most important strikes after the bell: Roku Amgen &amp; extra
0,AMGN,Stocks making the biggest moves midday: Alphabet Spotify GameStop Amgen &amp; more
1,AMGN,Amgen AstraZeneca say experimental asthma drug meets trial goal
1,AMGN,Amgen Repatha PCSK9 lipid lowering medication approved in Canada!!!!!!!!!!
1,AAPL,Apple the world's most profitable firm has a secretive new structure allowing it to continue avoiding billions in taxes Paradise Papers show. They sidestepped a 2013 crackdown by actively shopping around for a tax haven landing $252bn on the Channel Island of Jersey.
0,AAPL,Apple bows to China by censoring Taiwan flag emoji
0,AAPL,France says 'crazy' that Apple and others get 'permanent tax haven status' - “The global tech players do not contribute financially to the funding of the common good it is not sustainable” said Macron
0,AAPL,Apple cofounder Steve Wozniak says most people should 'figure out a way to get off Facebook'
0,AAPL,Shouting ‘pay your taxes’ activists occupy Apple retail stores across France
0,AAPL,Apple sold $4.2 billion of product in New Zealand paid $0 local taxes. “Their tax department is even more innovative than their product designers.”
1,AAPL,Apple removes police-tracking app used in Hong Kong protests from its app store
0,AAPL,Apple blocking ads that follow users around web is 'sabotage' says industry: New iOS 11 and macOS High Sierra will stop ads following Safari users prompting open letter claiming Apple is destroying internet’s economic model
0,AAPL,Apple pledges to stop mining raw materials and use 100% reusable material
1,AAPL,Apple CEO becomes chairman of China university board
0,AAPL,'Intentional' event redirects cloud traffic from Apple Google &amp; others through Russia: Internet traffic coming into and out of Apple Facebook Google Microsoft and other companies was briefly redirected through a Russian provider on Wednesday in what appears to have been a deliberate move.
2,AAPL,Apple hit with class action suit in Israel for deliberately slowing older iPhones
1,AAPL,Apple Is Still Trying to Sue the Owner of an Independent iPhone Repair Shop: Apple lost its counterfeit case against a Norwegian repair shop owner last year but the $1 trillion company won't let it go.
0,AAPL,Apple has approved an app which lets Hong Kong protesters track the police after initially rejecting it: HKmap Live is an anonymously developed crowd-sourced app that provides users with alerts on protesters' activity displays locations of police vehicles and tracks tear-gas usage.
0,AAPL,Apple jams Facebook's web-tracking tools
0,AAPL,Runaway Saudi sisters urge Google and Apple to pull woman-monitoring app
0,AAPL,Apple and TikTok refuse to testify to US Congress about their business in China
1,AAPL,Hong Kong lawmaker who relied on the banned HKMap Live app warns Apple from becoming an 'accomplice for Chinese censorship'
1,AAPL,Taiwan flag emoji disappears from latest Apple iPhone keyboard
1,AAPL,Apple wants the FBI to reveal how it hacked the San Bernardino killer's iPhone
1,AAPL,Apple: 'FBI could force us to turn on iPhone cameras and microphones'
1,AAPL,Apple hit with $118m ‘back tax’ payment in Japan
0,AAPL,"Apple co-founder Steve Wozniak says the NSA whistleblower “gave up his own life . . . to help the rest of us""."
0,AAPL,Apple recovered 2204 pounds of gold from broken iPhones last year
0,AAPL,Tech giants including Google Apple and Amazon will for first time face rules governing their commercial relations with smaller businesses under law proposed by EU...new rules will require them to be more transparent about how they rank search results and why they delist some services.
0,AAPL,Apple is cutting down on how many cookies advertisers can force on to your devices with changes coming to iPhones iPads and Macs. The advertisers naturally are not happy
0,AAPL,An app which tracked US drone strikes through text notifications and maps has been removed from the App Store by Apple due to “excessively crude or objectionable content”
1,AAPL,Facebook reportedly gave personal data to 60 companies including Apple Amazon and Samsung
0,AAPL,Apple and Nike urged to cut 'China Uighur ties'
0,AAPL,Apple may be on the hook for $8 billion in taxes as a result of a European Commission investigation.
1,AAPL,Report: Apple Has Activated Software Locks on iPhone Batteries to Discourage Third-Party Repairs
0,AAPL,Europe hits Apple with $14.6 billion tax bill
0,AAPL,Apple 'should repay Ireland 13bn euros' European Commission rules
1,AAPL,Spotify files EU antitrust complaint against Apple
0,AAPL,Apple Google Microsoft Facebook Yahoo LinkedIn Twitter and AO have united to demand sweeping changes to US surveillance laws and an international ban on bulk collection of data
1,AAPL,Apple is failing to protect workers in Chinese factories according to an undercover BBC investigation. Exhausted workers were filmed falling asleep on their 12-hour shifts at a Shanghai factory. One employee had to work 18 days in a row despite repeated requests for a day off.
0,AAPL,Apple agrees to pay Ireland $15.4 billion in back taxes to appease EU
0,AAPL,France To Take Legal Action Against Facebook Google Amazon Apple: Mistreatment of startups developers overwhelmingly dominant positions and abusive commercial practices cited as reasons for probe.
1,AAPL,Apple reportedly won't bid for 'South Park' streaming rights because of China's ban
0,AAPL,"Apple suspends access to Siri recordings after workers overhear iPhone users 'having sex': The move follows a report that workers were ""regularly"" hearing recordings of confidential and intimate encounters."
1,AAPL,Apple gave Uber's app 'unprecedented' access to a secret backdoor that can record iPhone screens
0,AAPL,Trump tells Apple to make products in U.S. to avoid China tariffs
1,AAPL,Facebook is reportedly under criminal investigation over deals that gave Apple Amazon and other companies access to user data
1,AAPL,Apple Facebook Uber Google Intel Snap and Netflix join slew of companies to take legal action against Donald Trump
1,AAPL,Apple the world's most profitable firm has a secretive new structure allowing it to continue avoiding billions in taxes Paradise Papers show. They sidestepped a 2013 crackdown by actively shopping around for a tax haven landing $252bn on the Channel Island of Jersey.
0,AAPL,Apple and Samsung are both under investigation by the Italian government over planned obsolescence - Italy’s antitrust organization wants to know if the two companies are intentionally slowing down their phones
0,AAPL,Apple could be on the hook for $19 billion in taxes and the Obama administration is livid
0,AAPL,"Snowden: ""Google Facebook Microsoft Yahoo Apple and the rest of our internet titans must ask themselves why they aren't fighting for our interests the same way"""
1,AAPL,Teenager sues Apple for $1bn after facial recognition led to false arrest
0,AAPL,Huawei cloning Apple parts rewarding employees for tech theft
1,AAPL,Apple Bans App That Allowed Hong Kong Protestors to Track Police Movements
0,AAPL,"Leaked NSA presentation claims that NSA has ""direct access"" to servers at Google Apple Facebook Skype Yahoo and many others"
1,AAPL,Chinese iCloud Users Warned The Government Could Access Their Data. Apple has agreed to store iCloud data in China allowing country's authorities to bypass the US court system when seeking information on its users.
0,AAPL,"Apple loses tablet copyright appeal against Samsung
| Reuters"
0,AAPL,EU says Ireland's Apple complaint will only be dropped if it recovers the full $16 billion in unpaid taxes
1,AAPL,Apple CEO Tim Cook challenges Obama with impassioned stand on privacy
0,AAPL,Apple bows to China by censoring Taiwan flag emoji
0,AAPL,An NYU grad student is tweeting every drone strike by the US since 2002 after Apple rejected his iPhone App
0,AAPL,Apple has prevented the Telegram messaging service from updating globally ever since Russia ordered Apple to remove the service from its stores Telegram's CEO and founder said on Thursday.
0,AAPL,Apple denounces neo-Nazis as Spotify bans ‘white power’ tracks
1,AAPL,Tim Cook Opposes FBI Order for Apple to Unlock iPhone Setting Up Showdown
0,AAPL,LGBT groups ask Apple to cut ties with Russian retailer after creative director advocates burning gay people alive. He also urges Putin to ban homosexuality
0,AAPL,Apple Hints China Behind ‘Billion Device iPhone Hack’ That Google Reported
1,AAPL,Apple removes ‘Quartz’ news app from Chinese App Store at request of the government - The website which has been covering the Hong Kong protests in detail has also been blocked across all of mainland China.
0,AAPL,Apple investigated by Russia for 'homosexual propaganda' over its emojis featuring same-sex couples
1,AAPL,Apple CEO Tim Cook slams US decision to withdraw from climate deal says he tried to convince Trump otherwise
0,AAPL,Apple ordered to pay $533 million for patent infringement
0,AAPL,Apple Inc and its main contract manufacturing Foxconn agreed to tackle violations of conditions among the 1.2 million workers assembling iPhones and iPads in a landmark decision that could change the way Western companies do business in China.
1,AAPL,Apple CEO Tim Cook met with a Chinese state regulator days after controversially booting a Hong Kong map app from the App Store
0,AAPL,Apple removes VPN apps from the App Store in China
1,AAPL,The EU is taking Ireland to its highest court over its failure to make Apple pay tax
1,AAPL,"As a current unidentified Apple executive points out to the Times: ""...right now customers care more about a new iPhone than working conditions in China."""
0,AAPL,China forced Apple to remove New York Times app in China because NYT had an article about Chinese Propaganda Video
0,AAPL,Apple Safari browser sends some user IP addresses to Chinese conglomerate Tencent by default
0,AAPL,Apple faces billions in fines in tax avoidance probe
0,AAPL,Australian regulator sues Apple alleging iPhone 'bricking': Australia's consumer watchdog is alleging [Apple] used a software update to disable iPhones which had cracked screens fixed by third parties.
1,AAPL,"Apple has patented software that would allow police to deactivate Apple devices from recording: ""All the coppers have to do is decide that a public gathering or venue is deemed ""sensitive"" and needs to be ""protected from externalities"" and Apple will switch off all its gear."
0,AAPL,An Australian court has fined Apple A$9m (£5m; $6.5m) for refusing to fix iPhones and iPads that had been serviced by third parties. The nation's consumer watchdog took the tech giant to court last year. Apple admitted that it misled 275 people about their rights to repairs and replacements.
0,AAPL,US Companies Stashing $1.95 Trillion In Profits Overseas; tech companies such as Microsoft Apple and IBM among the worst offenders.
1,AAPL,Apple loses Samsung patent case in Japan
1,AAPL,Google tracks users who turn off location history - Google records users' locations even when they have asked it not to a report from the Associated Press has suggested. The issue could affect up to two billion Android and Apple devices which use Google for maps or search.
0,AAPL,Apple is under fire for moving iCloud data to China
0,AAPL,Chemicals killing smartphone chip factory workers: Samsung and Apple factories accused
1,AAPL,Apple forced to pay licensing fee after its world clock design found to be trademarked by Swiss company
0,AAPL,Apple investing in 27000 acre mangrove forest in Colombia to combat climate change.
0,AAPL,Google Apple and 13 other companies no longer require employees to have a college degree
1,AAPL,Apple assists China pulls apps used by Hong Kong protesters to track police
0,AAPL,US accused of ‘acting like a tax haven’ for threatening retaliation against Brussels’ anti-trust investigations into Apple Amazon and Starbucks
1,AAPL,EU hits Qualcomm with €1 billion [US$1.2 billion] fine for paying Apple so that the iPhone maker only used its chips blocking rivals such as Intel
0,AAPL,Russian Politician: Ban Apple CEO Tim Cook from Russia because he could have ‘AIDS’ or ‘Ebola’
1,AAPL,French lawsuit launched against Apple for alleged crime of slowing down iPhones
0,AAPL,Apple Microsoft Google and other US firms to commit $140bn to address climate change
1,AAPL,"Apple chief executive Tim Cook says the European Commission ruling that Apple should pay billions of euros in back taxes to the Republic of Ireland is ""maddening"" and ""political""."
0,AAPL,Apple Continues To Insist Only It Can Use An Apple In A Logo; Threatens Small German Cafe
0,AAPL,Apple 'deeply offended' by conclusion of BBC's undercover investigation in Chinese factories; declines to comment but sends mass email to about 5000 UK staff.
1,AAPL,Apple confirms it uses Google's cloud for iCloud
1,AAPL,Italy fines Apple over misleading tax conduct
1,AAPL,Apple says it has never worked with NSA to create backdoors
2,AAPL,Apple asks Facebook to remove its spyware-like Onavo VPN from the App Store
0,AAPL,Hackers are using Reddit to control 17000 Apple computers
0,BA,Boeing sued by more than 400 pilots in class action over 737 MAX's 'unprecedented cover-up'
1,BA,Justin Trudeau told Donald Trump he would block his country’s armed forces from buying Boeing aircraft if the US presses ahead with plans to slap import tariffs of 300 percent on Bombardier aeroplanes.
0,BA,Boeing relied on single sensor for 737 Max that had been flagged 216 times to FAA
1,BA,Canada won't do business with Boeing while it's 'busy trying to sue us' Trudeau says
0,BA,Russian MH17 Suspect Identified by 'High-Pitched' Voice: Investigators have identified a Russian military officer from the distinctive tone of his voice. Oleg Vladimirovich Ivannikov has been named by investigators as heading military operations in eastern Ukraine when the Boeing 777 was shot down.
0,BA,Boeing sued for Securities Fraud after concealing information about the 737 MAX caused a $35 billion loss of stock value. Lawsuit claims profit was put before safety.
1,BA,Canada grounds all Boeing 737-Max8 and Max9
0,BA,Trump immigration ban could jeopardize $20 billion in Boeing deals with Iran Iraq
1,BA,Boeing 737 Plane crashes on takeoff from Havana airport Cuban TV reports
0,BA,Former Boeing controls engineer confirms that 737 MAX switches were indeed modified in a manner that kept pilot from disabling the MCAS system separate from own controls. Pilots were not informed and Ethiopian pilot tried to use switches in vain.
1,BA,Boeing did not reveal 737 MAX alert issue to FAA for 13 months
0,BA,Boeing falsified records for 787 jet sold to Air Canada. It developed a fuel leak | CBC News
0,BA,"Former and current employees at a Boeing plant in South Carolina that produces the company's 787 Dreamliner claim the factory is overrun by ""shoddy production and weak oversight that have threatened to compromise safety""."
0,BA,Boeing 737 MAX 8: US says ‘no basis’ to suspend troubled jet but at least 45 countries disagree
